pair common_neigh jaccard pref_attach adamic sp_3 class
0-385 0 0.0 774 0 42.0 0
0-386 0 0.0 1284 0 39.0 0
0-387 0 0.0 966 0 13.0 0
0-389 0 0.0 546 0 13.0 0
0-390 0 0.0 78 0 3.0 0
0-391 3 0.375 30 1.4941285868276535 14.0 0
0-392 0 0.0 54 0 1.0 0
0-393 0 0.0 186 0 3.0 0
0-394 0 0.0 348 0 5.0 0
0-395 0 0.0 144 0 4.0 0
0-396 0 0.0 192 0 3.0 0
0-398 0 0.0 642 0 18.0 0
0-401 0 0.0 846 0 25.0 0
0-407 0 0.0 672 0 14.0 0
0-409 0 0.0 42 0 1.0 0
0-412 0 0.0 48 0 1.0 0
0-416 1 0.0070921985815602835 816 0.21859304439100327 62.0 0
0-417 0 0.0 1464 0 35.0 0
0-419 0 0.0 168 0 1.0 0
0-420 0 0.0 156 0 2.0 0
0-421 0 0.0 480 0 13.0 0
0-422 0 0.0 528 0 8.0 0
0-423 0 0.0 726 0 5.0 0
0-425 0 0.0 396 0 17.0 0
0-427 0 0.0 504 0 24.0 0
0-428 0 0.0 762 0 13.0 0
0-429 0 0.0 84 0 2.0 0
0-431 0 0.0 576 0 14.0 0
0-433 0 0.0 792 0 31.0 0
0-434 0 0.0 732 0 17.0 0
0-438 0 0.0 594 0 12.0 0
0-439 0 0.0 480 0 39.0 0
0-440 0 0.0 186 0 1.0 0
0-442 0 0.0 552 0 4.0 0
0-444 0 0.0 114 0 1.0 0
0-446 0 0.0 708 0 18.0 0
0-447 0 0.0 42 0 1.0 0
0-449 0 0.0 324 0 7.0 0
0-451 0 0.0 180 0 2.0 0
0-452 0 0.0 894 0 9.0 0
0-453 0 0.0 648 0 26.0 0
0-454 0 0.0 114 0 3.0 0
0-458 0 0.0 906 0 14.0 0
0-460 0 0.0 168 0 6.0 0
0-461 0 0.0 18 0 1.0 0
0-466 0 0.0 690 0 7.0 0
0-467 0 0.0 624 0 10.0 0
0-468 0 0.0 366 0 4.0 0
0-470 0 0.0 264 0 13.0 0
0-474 0 0.0 60 0 1.0 0
0-477 0 0.0 480 0 16.0 0
0-480 0 0.0 48 0 1.0 0
0-487 0 0.0 828 0 36.0 0
0-493 0 0.0 84 0 4.0 0
0-503 0 0.0 678 0 5.0 0
0-505 0 0.0 42 0 1.0 0
0-507 0 0.0 432 0 12.0 0
0-509 1 0.017241379310344827 318 0.21859304439100327 19.0 0
0-511 0 0.0 600 0 13.0 0
0-514 0 0.0 174 0 4.0 0
0-515 0 0.0 450 0 2.0 0
0-516 0 0.0 672 0 8.0 0
0-517 0 0.0 156 0 4.0 0
0-518 0 0.0 366 0 13.0 0
0-520 0 0.0 486 0 5.0 0
0-525 0 0.0 480 0 2.0 0
0-527 0 0.0 414 0 2.0 0
0-528 0 0.0 48 0 2.0 0
0-529 0 0.0 222 0 2.0 0
0-530 0 0.0 96 0 1.0 0
0-531 0 0.0 84 0 1.0 0
0-533 0 0.0 114 0 5.0 0
0-535 1 0.013333333333333334 420 0.21859304439100327 43.0 0
0-536 0 0.0 786 0 33.0 0
0-552 0 0.0 492 0 15.0 0
0-557 0 0.0 432 0 8.0 0
0-558 1 0.010526315789473684 540 0.21859304439100327 32.0 0
0-559 0 0.0 510 0 9.0 0
0-560 0 0.0 18 0 1.0 0
0-561 0 0.0 90 0 1.0 0
0-562 0 0.0 312 0 2.0 0
0-565 0 0.0 54 0 1.0 0
0-572 0 0.0 72 0 1.0 0
0-575 0 0.0 24 0 1.0 0
0-576 0 0.0 12 0 2.0 0
0-577 0 0.0 66 0 1.0 0
0-578 0 0.0 108 0 2.0 0
0-579 0 0.0 192 0 4.0 0
0-580 0 0.0 240 0 6.0 0
0-581 0 0.0 66 0 5.0 0
0-582 0 0.0 378 0 18.0 0
0-586 0 0.0 150 0 1.0 0
0-592 0 0.0 114 0 1.0 0
0-594 0 0.0 120 0 8.0 0
0-595 0 0.0 78 0 5.0 0
0-596 0 0.0 120 0 6.0 0
0-597 1 0.0625 66 0.21859304439100327 2.0 0
0-601 0 0.0 738 0 8.0 0
0-603 0 0.0 906 0 34.0 0
0-604 0 0.0 324 0 33.0 0
0-605 0 0.0 804 0 30.0 0
0-606 1 0.016666666666666666 330 0.21859304439100327 40.0 0
0-607 0 0.0 510 0 40.0 0
0-608 0 0.0 564 0 28.0 0
0-609 1 0.0064516129032258064 900 0.21859304439100327 51.0 0
0-610 1 0.0053475935828877 1092 0.21859304439100327 54.0 0
0-611 1 0.014492753623188406 384 0.21859304439100327 46.0 0
0-612 1 0.0056179775280898875 1038 0.21859304439100327 42.0 0
0-613 1 0.016129032258064516 342 0.21859304439100327 42.0 0
0-614 0 0.0 726 0 29.0 0
0-615 1 0.006211180124223602 936 0.21859304439100327 80.0 0
0-616 1 0.011235955056179775 504 0.21859304439100327 44.0 0
0-617 0 0.0 816 0 50.0 0
0-618 1 0.0125 450 0.21859304439100327 41.0 0
0-619 1 0.020833333333333332 258 0.21859304439100327 32.0 0
0-620 0 0.0 132 0 10.0 0
0-621 0 0.0 750 0 43.0 0
0-622 0 0.0 582 0 12.0 0
0-624 1 0.009708737864077669 588 0.21859304439100327 69.0 0
0-625 0 0.0 720 0 4.0 0
0-626 1 0.006493506493506494 894 0.21859304439100327 43.0 0
0-627 0 0.0 1134 0 29.0 0
0-628 0 0.0 1038 0 31.0 0
0-629 0 0.0 780 0 19.0 0
0-630 0 0.0 714 0 25.0 0
0-631 1 0.008695652173913044 660 0.21859304439100327 43.0 0
0-632 0 0.0 462 0 22.0 0
0-633 0 0.0 1374 0 44.0 0
0-634 0 0.0 492 0 42.0 0
0-635 1 0.00392156862745098 1500 0.21859304439100327 72.0 0
0-636 0 0.0 870 0 17.0 0
0-637 0 0.0 636 0 13.0 0
0-638 0 0.0 666 0 16.0 0
0-639 0 0.0 930 0 15.0 0
0-640 0 0.0 756 0 30.0 0
0-641 0 0.0 492 0 12.0 0
0-642 0 0.0 366 0 10.0 0
0-643 0 0.0 690 0 31.0 0
0-644 0 0.0 894 0 19.0 0
0-645 0 0.0 588 0 21.0 0
0-646 0 0.0 492 0 27.0 0
0-647 0 0.0 594 0 20.0 0
0-648 1 0.014285714285714285 390 0.21859304439100327 30.0 0
0-649 1 0.010101010101010102 564 0.21859304439100327 44.0 0
0-650 1 0.008695652173913044 660 0.21859304439100327 78.0 0
0-651 0 0.0 780 0 18.0 0
0-652 1 0.00980392156862745 582 0.21859304439100327 42.0 0
0-653 0 0.0 612 0 10.0 0
0-654 0 0.0 708 0 25.0 0
0-655 0 0.0 288 0 5.0 0
0-656 0 0.0 378 0 13.0 0
0-657 0 0.0 996 0 39.0 0
0-658 0 0.0 402 0 4.0 0
0-659 0 0.0 516 0 4.0 0
0-660 0 0.0 684 0 25.0 0
0-661 1 0.006802721088435374 852 0.21859304439100327 48.0 0
0-662 0 0.0 492 0 12.0 0
0-663 0 0.0 840 0 24.0 0
0-664 0 0.0 666 0 30.0 0
0-665 0 0.0 588 0 16.0 0
0-666 0 0.0 600 0 23.0 0
0-667 1 0.015384615384615385 360 0.21859304439100327 24.0 0
0-668 0 0.0 642 0 25.0 0
0-669 0 0.0 672 0 12.0 0
0-670 0 0.0 510 0 7.0 0
0-671 0 0.0 576 0 7.0 0
0-672 0 0.0 360 0 7.0 0
0-673 0 0.0 672 0 16.0 0
0-674 0 0.0 834 0 24.0 0
0-675 1 0.011111111111111112 510 0.21859304439100327 17.0 0
0-676 1 0.011764705882352941 480 0.21859304439100327 52.0 0
0-677 0 0.0 660 0 37.0 0
0-678 0 0.0 564 0 25.0 0
0-679 0 0.0 588 0 33.0 0
0-680 0 0.0 780 0 14.0 0
0-681 0 0.0 1080 0 34.0 0
0-682 0 0.0 588 0 24.0 0
0-683 0 0.0 708 0 33.0 0
0-684 1 0.010101010101010102 564 0.21859304439100327 27.0 0
0-685 1 0.006756756756756757 858 0.21859304439100327 35.0 0
0-686 0 0.0 726 0 41.0 0
0-687 1 0.01020408163265306 558 0.21859304439100327 46.0 0
0-688 1 0.013888888888888888 402 0.21859304439100327 41.0 0
0-689 0 0.0 546 0 32.0 0
0-690 1 0.007692307692307693 750 0.21859304439100327 20.0 0
0-691 0 0.0 540 0 3.0 0
0-692 0 0.0 582 0 23.0 0
0-693 0 0.0 780 0 30.0 0
0-694 0 0.0 708 0 36.0 0
0-695 0 0.0 834 0 25.0 0
0-696 1 0.009345794392523364 612 0.21859304439100327 59.0 0
0-697 0 0.0 666 0 10.0 0
0-698 0 0.0 468 0 4.0 0
0-699 0 0.0 750 0 12.0 0
0-700 0 0.0 480 0 14.0 0
0-701 1 0.007194244604316547 804 0.21859304439100327 46.0 0
0-702 0 0.0 222 0 16.0 0
0-703 0 0.0 204 0 2.0 0
0-704 0 0.0 708 0 14.0 0
0-705 1 0.008333333333333333 690 0.21859304439100327 62.0 0
0-706 0 0.0 498 0 6.0 0
0-707 0 0.0 588 0 25.0 0
0-708 0 0.0 672 0 6.0 0
0-709 2 0.017543859649122806 660 0.7767036709422505 85.0 0
0-710 0 0.0 606 0 6.0 0
0-711 0 0.0 738 0 26.0 0
0-712 1 0.0196078431372549 276 0.21859304439100327 37.0 0
0-713 0 0.0 426 0 5.0 0
0-714 0 0.0 468 0 8.0 0
0-715 0 0.0 348 0 18.0 0
0-716 0 0.0 186 0 6.0 0
